date,Python,Go,Java,C#,Javascript,Ruby,Typescript,PHP,Rust,Kotlin,C++,Swift,Scala
2021-09-17,1187,81,2498,1402,3284,279,513,1634,11,218,454,268,122
2021-09-24,1156,94,2483,1452,3334,272,548,1675,15,222,468,287,109
2021-10-01,1152,100,2523,1451,3336,279,574,1640,14,218,446,261,100
2021-10-08,1152,89,2523,1499,3336,299,579,1666,18,213,445,255,94
2021-10-15,1205,102,2578,1515,3492,297,626,1673,17,201,477,257,91
2021-10-22,1216,97,2591,1507,3481,303,621,1641,19,190,487,248,88
2021-10-29,1276,93,2598,1584,3515,335,619,1691,18,198,529,244,92
2021-11-05,1153,85,2708,1586,3531,333,615,1686,18,206,544,257,95
2021-11-12,1261,84,2717,1620,3581,347,628,1711,19,198,549,255,90
2021-11-19,1114,91,2545,1542,3512,350,619,1727,19,200,520,261,101
2021-11-26,1103,92,2404,1564,3402,354,619,1718,17,193,512,267,101
2021-12-03,1072,90,2407,1509,3328,335,603,1736,19,184,501,262,96
2021-12-10,1085,91,2402,1479,3275,344,584,1741,17,175,488,250,103
2021-12-17,1098,89,2340,1410,3199,343,587,1695,16,168,479,236,111
